term	score	AffectDimension
déchaînement	0.833	anger
affreux	0.833	anger
cruauté	0.833	anger
méprisable	0.828	anger
tyrannique	0.828	anger
démoniaque	0.828	anger
haïr	0.828	anger
mode rage	0.828	anger
haine	0.828	anger
satanique	0.828	anger
ruineux	0.825	anger
condamner	0.825	anger
crétin	0.824	anger
démolir	0.824	anger
fâché	0.824	anger
émeutes	0.824	anger
extermination	0.824	anger
livide	0.821	anger
fou	0.82	anger
vindicatif	0.819	anger
terroriste	0.818	anger
menacer	0.818	anger
vous déteste	0.818	anger
effyou	0.818	anger
férocité	0.818	anger
venimeux	0.818	anger
abhorrer	0.816	anger
sauvage	0.814	anger
atrocité	0.814	anger
carnage	0.814	anger
angrytweet	0.812	anger
barbare	0.812	anger
vengeance	0.812	anger
destructeur	0.812	anger
énervé	0.812	anger
abuser de	0.812	anger
furieux	0.812	anger
pissesmeoff	0.812	anger
fou furieux	0.812	anger
féroce	0.812	anger
merde	0.812	anger
tyran	0.812	anger
colère	0.811	anger
morceau de merde	0.81	anger
homicide	0.803	anger
claquer	0.803	anger
perforation	0.803	anger
chienne	0.803	anger
combats	0.803	anger
poinçonné	0.803	anger
impitoyable	0.797	anger
destructeur	0.797	anger
infâme	0.797	anger
gifler	0.791	anger
en hurlant	0.788	anger
ragetweet	0.788	anger
punir	0.788	anger
diabolique	0.788	anger
émeute	0.788	anger
grandir	0.788	anger
détruit	0.788	anger
de représailles	0.788	anger
abattoir	0.788	anger
homicide involontaire	0.783	anger
choc	0.783	anger
détonation	0.781	anger
sinistre	0.781	anger
atroce	0.781	anger
querelle	0.781	anger
sanglant	0.781	anger
répugnance	0.781	anger
perfide	0.779	anger
la farine	0.779	anger
hateeee	0.779	anger
accusant	0.779	anger
horrible	0.773	anger
dégoût	0.773	anger
garance	0.773	anger
user de représailles	0.773	anger
mépris	0.769	anger
déplorable	0.766	anger
bombe	0.766	anger
renvoyé	0.765	anger
dévastation	0.765	anger
anarchiste	0.765	anger
tempête de feu	0.765	anger
méprisable	0.764	anger
le plus merdique	0.76	anger
fracasser	0.758	anger
cruel	0.758	anger
tellement en colère	0.758	anger
diabolique	0.758	anger
mortel	0.758	anger
explosion	0.757	anger
gronder	0.754	anger
offenser	0.75	anger
fou	0.75	anger
révoltant	0.75	anger
aggravant	0.75	anger
horreur	0.75	anger
mépriser	0.75	anger
ne me dis pas	0.75	anger
stfu	0.75	anger
grondement	0.75	anger
profane	0.75	anger
vulgarité	0.75	anger
douchebags	0.75	anger
merde	0.742	anger
la violence	0.742	anger
attentat à la pudeur	0.742	anger
en hurlant	0.742	anger
éclater	0.742	anger
horrible	0.742	anger
menace	0.742	anger
bâtards	0.741	anger
vengeance	0.738	anger
catastrophe	0.735	anger
menaçant	0.735	anger
zut	0.735	anger
démon	0.735	anger
écrasement	0.735	anger
débattre	0.734	anger
séditieux	0.734	anger
marre	0.734	anger
déplorer	0.734	anger
guerre	0.734	anger
se disputer	0.734	anger
véhément	0.734	anger
persécuter	0.734	anger
fouetter	0.734	anger
révolte	0.734	anger
altercation	0.729	anger
belliqueux	0.728	anger
merde	0.727	anger
castrer	0.727	anger
mutinerie	0.727	anger
sabotage	0.727	anger
malveillant	0.721	anger
la grève	0.721	anger
catastrophe	0.721	anger
catastrophique	0.72	anger
fou	0.719	anger
crier	0.719	anger
trou de fosse	0.719	anger
brutal	0.719	anger
fer à cheval	0.719	anger
bâtard	0.719	anger
tumulte	0.719	anger
mépris	0.719	anger
diable	0.719	anger
tuer	0.719	anger
aggrave	0.719	anger
traîtrise	0.719	anger
vermine	0.719	anger
brûlant	0.719	anger
étranglement	0.719	anger
malveillant	0.719	anger
mutilation	0.714	anger
mutiler	0.714	anger
criminel	0.714	anger
anarchisme	0.714	anger
coup de poing	0.713	anger
dénonciation	0.713	anger
holocauste	0.712	anger
virulence	0.712	anger
fatal	0.712	anger
blasphématoire	0.712	anger
blesser	0.712	anger
tu n'aimes pas	0.712	anger
imbéciles	0.712	anger
combattu	0.712	anger
crucifixion	0.712	anger
irrité	0.706	anger
mal	0.706	anger
atroce	0.706	anger
dérangé	0.706	anger
enlever	0.703	anger
aggravé	0.703	anger
assassin	0.703	anger
réprimande	0.703	anger
bites	0.703	anger
tueur	0.703	anger
intimidation	0.703	anger
persécution	0.703	anger
agression	0.702	anger
armé	0.7	anger
poison	0.697	anger
venin	0.697	anger
hargneux	0.697	anger
bataille	0.697	anger
mécontent	0.693	anger
agresseur	0.691	anger
rancœur	0.691	anger
insidieux	0.691	anger
lyncher	0.69	anger
méprisant	0.69	anger
infanticide	0.688	anger
emprisonnement	0.688	anger
tempérer	0.688	anger
terrible	0.688	anger
furieux	0.688	anger
fou	0.688	anger
domination	0.688	anger
irrité	0.688	anger
makememad	0.688	anger
brute	0.688	anger
malédiction	0.688	anger
dénigrer	0.688	anger
volatilité	0.687	anger
éradication	0.685	anger
dévaster	0.682	anger
colère	0.682	anger
scélérat	0.682	anger
éradiquer	0.682	anger
agressivement	0.68	anger
agitation	0.68	anger
dictature	0.676	anger
irrite	0.676	anger
impiété	0.673	anger
coup	0.672	anger
explétif	0.672	anger
méchant	0.672	anger
la criminalité	0.672	anger
toxique	0.672	anger
corrompre	0.672	anger
lâche	0.672	anger
tirer	0.672	anger
pousser	0.672	anger
condamnation	0.672	anger
aggravation	0.672	anger
assouvir	0.672	anger
énorme	0.672	anger
mépris	0.672	anger
écrasé	0.672	anger
nocif	0.672	anger
cruellement	0.672	anger
maniaque	0.67	anger
combat	0.667	anger
agressif	0.667	anger
frappé	0.667	anger
bats toi	0.667	anger
crier	0.667	anger
égorgé	0.667	anger
irritable	0.667	anger
odieux	0.667	anger
tournage	0.667	anger
haïr tout le monde	0.667	anger
donner un coup	0.667	anger
éruption	0.667	anger
ennemi	0.667	anger
puni	0.662	anger
embuscade	0.661	anger
hurler	0.661	anger
harceler	0.659	anger
encens	0.656	anger
sang	0.656	anger
malin	0.656	anger
rancune	0.656	anger
antéchrist	0.656	anger
agresseur	0.656	anger
expulser	0.656	anger
destruction	0.656	anger
excentrique	0.653	anger
grognement	0.652	anger
esclave	0.652	anger
donner une fessée	0.652	anger
dénoncer	0.652	anger
représailles	0.652	anger
insultant	0.652	anger
se disputer	0.652	anger
insurrection	0.652	anger
offensé	0.652	anger
animosité	0.652	anger
grogne	0.649	anger
bourreau	0.644	anger
chatte	0.644	anger
jour du jugement dernier	0.643	anger
incendie volontaire	0.641	anger
grr	0.641	anger
démon	0.641	anger
prise de bec	0.641	anger
obscénité	0.641	anger
ravage	0.641	anger
manille	0.641	anger
accusé	0.641	anger
querelle	0.641	anger
expulsion	0.641	anger
indigné	0.641	anger
réprimande	0.641	anger
inexcusable	0.641	anger
bombarder	0.641	anger
si fou	0.637	anger
fessée	0.636	anger
suicidaire	0.636	anger
anarchie	0.636	anger
combattant	0.636	anger
pendaison	0.636	anger
empoisonné	0.636	anger
frustré	0.636	anger
blessure	0.636	anger
flagrant	0.636	anger
battre	0.636	anger
répugnant	0.636	anger
coup de pied	0.636	anger
infliger	0.633	anger
détruit	0.633	anger
grave	0.632	anger
poursuivre	0.63	anger
agité	0.63	anger
tricher	0.63	anger
svastika	0.627	anger
raid	0.625	anger
maudire	0.625	anger
harcèlement	0.625	anger
provocation	0.625	anger
conflit	0.625	anger
suffocation	0.625	anger
diffamatoire	0.625	anger
fléau	0.625	anger
blesser	0.625	anger
esclave	0.625	anger
accuser	0.625	anger
trahir	0.625	anger
tonnerre	0.625	anger
trou de trou	0.624	anger
secousse	0.621	anger
insensé	0.621	anger
représailles	0.621	anger
privation	0.621	anger
condamné	0.621	anger
vol	0.621	anger
irriter	0.621	anger
démon	0.621	anger
jeté	0.619	anger
la tourmente	0.618	anger
claque	0.615	anger
châtiment	0.614	anger
esclavage	0.609	anger
irritabilité	0.609	anger
amèrement	0.609	anger
batterie	0.609	anger
antagonisme	0.609	anger
les chattes	0.609	anger
oppresseur	0.609	anger
préjudiciable	0.609	anger
intolérable	0.609	anger
gang	0.609	anger
rébellion	0.609	anger
collision	0.609	anger
négatif	0.609	anger
disgracié	0.608	anger
révolution	0.606	anger
diatribe	0.606	anger
connard	0.606	anger
fanfaron	0.606	anger
voyou	0.606	anger
antagoniste	0.606	anger
explosion	0.606	anger
écœurant	0.606	anger
irritant	0.606	anger
irritations	0.606	anger
bombardement	0.606	anger
la discrimination	0.606	anger
frustrer	0.604	anger
oppression	0.603	anger
insulter	0.603	anger
en avoir assez	0.603	anger
manipulation	0.603	anger
bigot	0.603	anger
tension	0.603	anger
nuisible	0.603	anger
dégoûter	0.602	anger
dépit	0.6	anger
intrusif	0.598	anger
dureté	0.597	anger
liaison	0.596	anger
misérable	0.594	anger
invasion	0.594	anger
morbidité	0.594	anger
assaillir	0.594	anger
tempête	0.594	anger
misérable	0.594	anger
crevaison	0.594	anger
victime	0.594	anger
amertume	0.594	anger
enfer	0.594	anger
assaut	0.594	anger
consternation	0.592	anger
délirant	0.591	anger
coupable	0.591	anger
dépravé	0.591	anger
immoral	0.591	anger
de force	0.591	anger
irrésistible	0.591	anger
guillotine	0.591	anger
récalcitrant	0.588	anger
maudit	0.588	anger
envahisseur	0.588	anger
effrayer	0.588	anger
vissé	0.588	anger
tellement contrarié	0.588	anger
jalousie	0.587	anger
indignation	0.587	anger
vexé	0.586	anger
affronter	0.582	anger
brute	0.581	anger
étrangler	0.579	anger
se chamailler	0.578	anger
coup	0.578	anger
de défi	0.578	anger
criminalité	0.578	anger
provoquant	0.578	anger
conflit	0.578	anger
revolver	0.578	anger
boucher	0.578	anger
fouetter	0.578	anger
incarcération	0.578	anger
litigieux	0.578	anger
fermer	0.578	anger
tu crains	0.578	anger
dommage	0.578	anger
épave	0.578	anger
pillage	0.578	anger
tais-toi	0.578	anger
flamber	0.578	anger
salope	0.578	anger
cancer	0.577	anger
blasphème	0.576	anger
perturbation	0.576	anger
dontmess	0.576	anger
impasse	0.576	anger
pernicieux	0.576	anger
aliénation	0.576	anger
pistolet	0.576	anger
discorde	0.576	anger
tâtonner	0.576	anger
chaotique	0.576	anger
frustration	0.576	anger
sanglant	0.576	anger
condescendance	0.576	anger
discriminer	0.576	anger
friggen	0.575	anger
mort	0.574	anger
folie	0.574	anger
coup	0.574	anger
oppressif	0.574	anger
maudit	0.574	anger
monstruosité	0.574	anger
scandaleux	0.574	anger
ricanement	0.574	anger
merde	0.573	anger
sabrer	0.571	anger
désobligeant	0.571	anger
injuste	0.571	anger
potence	0.57	anger
intensifier	0.569	anger
intolérant	0.564	anger
anarchie	0.563	anger
grognon	0.562	anger
soufflet	0.562	anger
traitre	0.562	anger
affreux	0.562	anger
perdition	0.562	anger
calomnie	0.562	anger
raillerie	0.562	anger
envahir	0.562	anger
querelles	0.562	anger
calomnier	0.562	anger
bluddy	0.562	anger
arghh	0.562	anger
horrible	0.562	anger
baissier	0.562	anger
dérogatoire	0.562	anger
éblouissement	0.562	anger
trompé	0.562	anger
torpille	0.562	anger
retards	0.562	anger
la bête	0.562	anger
traverser	0.561	anger
blesser	0.561	anger
banshee	0.561	anger
incontrôlé	0.561	anger
briser	0.561	anger
compromettre	0.561	anger
dévastateur	0.561	anger
incendie	0.561	anger
voleur	0.561	anger
idiots	0.561	anger
convient	0.561	anger
grille	0.561	anger
délirer	0.561	anger
dissension	0.561	anger
trahison	0.561	anger
perturbé	0.559	anger
assujettissement	0.559	anger
piétiné	0.557	anger
saisir	0.557	anger
coché	0.556	anger
grief	0.556	anger
masochisme	0.556	anger
défi	0.552	anger
chantage	0.55	anger
offensive	0.549	anger
décrier	0.548	anger
péché	0.547	anger
violation	0.547	anger
confiner	0.547	anger
frustré	0.547	anger
autoritaire	0.547	anger
tromper	0.547	anger
misère	0.547	anger
rebelle	0.547	anger
châtiment	0.547	anger
armes à feu	0.547	anger
côté obscur	0.547	anger
arghhhh	0.547	anger
disparité	0.547	anger
frustrer	0.547	anger
honteux	0.547	anger
aigu	0.547	anger
colère	0.547	anger
absurde	0.547	anger
en avoir assez	0.546	anger
volé	0.546	anger
préjudice	0.545	anger
ennuyeux	0.545	anger
humilier	0.545	anger
irrité	0.545	anger
conspirateur	0.545	anger
insensible	0.545	anger
ruiné	0.545	anger
adversaire	0.545	anger
menace	0.545	anger
branleur	0.545	anger
antagoniste	0.545	anger
escarmouche	0.545	anger
tacle	0.545	anger
chauffé	0.545	anger
faute	0.545	anger
argument	0.545	anger
piquer	0.544	anger
plaindre	0.544	anger
vol	0.544	anger
empêtré	0.544	anger
tollé	0.544	anger
irréconciliable	0.543	anger
la résistance	0.543	anger
obstructif	0.542	anger
consternation	0.54	anger
foule	0.538	anger
arrête	0.537	anger
méchanceté	0.536	anger
ridicule	0.534	anger
incendiaire	0.533	anger
fusées éclairantes	0.532	anger
soulèvement	0.531	anger
double face	0.531	anger
exacerbation	0.531	anger
contestation	0.531	anger
fouet	0.531	anger
communisme	0.531	anger
préjudiciable	0.531	anger
intrus	0.531	anger
rabaisser	0.531	anger
accouchement	0.531	anger
débridé	0.531	anger
allégation	0.531	anger
téméraire	0.531	anger
dégénérescence	0.531	anger
dictatorial	0.53	anger
injustifiable	0.53	anger
fanatique	0.53	anger
injuste	0.53	anger
tracas	0.53	anger
perversion	0.53	anger
délinquant	0.53	anger
fiesta	0.53	anger
attaqué	0.53	anger
dissonance	0.53	anger
renégat	0.529	anger
chaud	0.529	anger
prison	0.529	anger
cantstandit	0.529	anger
intrusion	0.529	anger
suicide	0.521	anger
ennuyer	0.52	anger
laisse-moi tranquille	0.517	anger
malhonnête	0.516	anger
dépravation	0.516	anger
méfiance	0.516	anger
griller	0.516	anger
idiot	0.516	anger
trahison	0.516	anger
la ventilation	0.516	anger
délictueux	0.516	anger
contrainte	0.516	anger
critiquer	0.516	anger
grrr	0.516	anger
hostile	0.516	anger
irrespectueux	0.516	anger
crétins	0.516	anger
prisonnier	0.516	anger
divorce	0.516	anger
le chaos	0.515	anger
coercition	0.515	anger
impitoyable	0.515	anger
méchant	0.515	anger
frustrant	0.515	anger
bile	0.515	anger
déchaîner	0.515	anger
argumentation	0.515	anger
saccades	0.515	anger
pow	0.515	anger
grincheux	0.515	anger
accrocher	0.515	anger
victime	0.515	anger
les braconniers	0.515	anger
gronder	0.515	anger
braconnage	0.515	anger
rugir	0.515	anger
lutte	0.514	anger
fléau	0.511	anger
répudiation	0.51	anger
accusation	0.51	anger
hostilité	0.51	anger
bannir	0.509	anger
défiguré	0.508	anger
orage	0.507	anger
peur	0.5	anger
fou	0.5	anger
angoisse	0.5	anger
confiné	0.5	anger
railler	0.5	anger
éviter	0.5	anger
dérogation	0.5	anger
banni	0.5	anger
martelage	0.5	anger
malmené	0.5	anger
possédé	0.5	anger
tout le monde s'en fout	0.5	anger
frénétique	0.5	anger
supplice	0.5	anger
délirant	0.5	anger
rejeter	0.5	anger
obstruer	0.5	anger
moussant	0.5	anger
intraitable	0.5	anger
combat	0.5	anger
effronté	0.5	anger
condescendant	0.5	anger
rejette	0.5	anger
ferveur	0.5	anger
dominer	0.5	anger
dérision	0.5	anger
lance	0.5	anger
suppression	0.5	anger
animus	0.5	anger
indiscipliné	0.5	anger
déranger	0.5	anger
faute professionnelle	0.5	anger
defier	0.5	anger
injustice	0.5	anger
antithèse	0.5	anger
se dépasser	0.495	anger
dureté	0.492	anger
gens stupides	0.492	anger
la démence	0.491	anger
coupable	0.491	anger
opprimer	0.49	anger
avarice	0.49	anger
révoquer	0.485	anger
inceste	0.485	anger
contrebandier	0.485	anger
vengeur	0.485	anger
désapprouvé	0.485	anger
demande	0.485	anger
reste loin	0.485	anger
griffe	0.485	anger
infraction	0.485	anger
coupe	0.485	anger
pervertir	0.485	anger
fringant	0.485	anger
anathème	0.485	anger
agacé	0.485	anger
désobéissant	0.485	anger
aliéner	0.485	anger
mauvais service	0.485	anger
abolir	0.485	anger
inhumain	0.485	anger
dissident	0.485	anger
plainte	0.485	anger
usurper	0.485	anger
odieux	0.484	anger
tromperie	0.484	anger
disgrâce	0.484	anger
opposé	0.484	anger
renoncer	0.484	anger
litigieux	0.484	anger
détenu	0.484	anger
railleur	0.484	anger
faire des reproches	0.484	anger
peine	0.484	anger
battre	0.484	anger
bouleversement	0.484	anger
restreindre	0.484	anger
tendu	0.484	anger
ventouse	0.484	anger
rivalité	0.484	anger
évincer	0.484	anger
méfiant	0.484	anger
turbulence	0.483	anger
livre	0.481	anger
froideur	0.477	anger
ingrat	0.472	anger
bataillon	0.471	anger
stupide	0.471	anger
adversité	0.47	anger
ram	0.47	anger
fiel	0.47	anger
infidèle	0.47	anger
ennuyeux	0.47	anger
friction	0.47	anger
otage	0.47	anger
jaloux	0.47	anger
accusateur	0.47	anger
féodalisme	0.47	anger
subversion	0.47	anger
armement	0.47	anger
dépossédé	0.47	anger
détresse	0.469	anger
intolérance	0.469	anger
subversif	0.469	anger
opposition	0.469	anger
exilé	0.469	anger
pillage	0.469	anger
récidive	0.469	anger
objection	0.469	anger
voler	0.469	anger
infraction	0.469	anger
se plaindre	0.469	anger
souffler	0.469	anger
mijoter	0.469	anger
égoïste	0.469	anger
recul	0.469	anger
inciter	0.469	anger
gestion de la colère	0.469	anger
auteur	0.469	anger
désobéir	0.469	anger
perturbation	0.469	anger
étouffer	0.469	anger
blessure	0.469	anger
égoïsme	0.469	anger
folie	0.469	anger
étouffé	0.469	anger
cogner	0.469	anger
ne pas aimer	0.469	anger
est-ce que vous plaisantez	0.468	anger
agresser	0.467	anger
agonie	0.465	anger
arrogant	0.461	anger
élimination	0.456	anger
piquets de grève	0.456	anger
hautain	0.456	anger
sux	0.456	anger
évacuer	0.456	anger
râpé	0.455	anger
clameur	0.455	anger
contrainte	0.455	anger
chuté	0.455	anger
imperméable	0.455	anger
illégalité	0.455	anger
mourant	0.455	anger
flagrant	0.455	anger
idiotie	0.455	anger
éclaté	0.455	anger
crabby	0.455	anger
illicite	0.455	anger
veto	0.455	anger
gênant	0.455	anger
tromper	0.455	anger
mal	0.453	anger
despotisme	0.453	anger
lutte	0.453	anger
usurpé	0.453	anger
en désaccord	0.453	anger
hystérique	0.453	anger
cesser	0.453	anger
impie	0.453	anger
réprimer	0.453	anger
désapprobateur	0.453	anger
mécontent	0.453	anger
baïonnette	0.453	anger
intense	0.453	anger
illicite	0.451	anger
à tort	0.448	anger
repoussant	0.442	anger
psychose	0.441	anger
ennemi	0.441	anger
injustifié	0.441	anger
déshonorer	0.441	anger
perdu	0.441	anger
aversion	0.44	anger
schisme	0.439	anger
gahhh	0.439	anger
punitif	0.439	anger
jointures	0.439	anger
dérangé	0.439	anger
effigie	0.439	anger
ultimatum	0.439	anger
délétère	0.438	anger
mucked	0.438	anger
irritation	0.438	anger
sans valeur	0.438	anger
une rançon	0.438	anger
séparatiste	0.438	anger
fugitif	0.438	anger
nier	0.438	anger
abandon	0.438	anger
stupidité	0.438	anger
oubli	0.437	anger
séparer	0.437	anger
remboursement	0.436	anger
expulsion	0.435	anger
incongru	0.435	anger
connivence	0.432	anger
rob	0.431	anger
infidélité	0.429	anger
vorace	0.429	anger
envahi	0.429	anger
incrédule	0.426	anger
stupidrain	0.426	anger
martial	0.426	anger
douloureux	0.426	anger
présage	0.426	anger
passer à autre chose	0.426	anger
rejet	0.426	anger
la défense	0.425	anger
antipathique	0.424	anger
pétard	0.424	anger
blennorragie	0.424	anger
fallacieux	0.424	anger
indécence	0.424	anger
exaspération	0.424	anger
agitation	0.424	anger
dissimulation	0.424	anger
puissant	0.424	anger
frauduleux	0.424	anger
frauder	0.424	anger
imposer	0.424	anger
censurer	0.424	anger
avidité	0.424	anger
désobéissance	0.424	anger
agitation	0.424	anger
mécontentement	0.424	anger
pénitencier	0.422	anger
ortie	0.422	anger
duel	0.422	anger
bannissement	0.422	anger
barbillon	0.422	anger
déportation	0.422	anger
sarcasme	0.422	anger
pénétration	0.422	anger
coup	0.422	anger
cicatrice	0.422	anger
fissuré	0.422	anger
sédition	0.422	anger
contrariété	0.422	anger
cabot	0.422	anger
snobé	0.422	anger
dénaturé	0.422	anger
flagrant	0.42	anger
obliger	0.418	anger
pervers	0.415	anger
tordre	0.415	anger
sinistre	0.413	anger
bastion	0.413	anger
sordide	0.412	anger
pas heureux	0.412	anger
de mauvaise humeur	0.412	anger
tiff	0.412	anger
bourru	0.412	anger
chasse	0.411	anger
indenture	0.41	anger
vous plaisantez j'espère	0.409	anger
reproche	0.409	anger
compulsion	0.409	anger
faux	0.409	anger
cantwin	0.409	anger
suprématie	0.409	anger
décevoir	0.409	anger
écraser	0.409	anger
déclarer forfait	0.409	anger
terrible	0.409	anger
détenu	0.409	anger
impliquer	0.409	anger
blocus	0.409	anger
se faufiler	0.409	anger
contredire	0.409	anger
inepte	0.409	anger
mensonge	0.408	anger
antipathie	0.406	anger
illusion	0.406	anger
impensable	0.406	anger
wop	0.406	anger
tremblement	0.406	anger
lourd	0.406	anger
abandonné	0.406	anger
inégalité	0.406	anger
blaireau	0.406	anger
cacophonie	0.406	anger
méfait	0.406	anger
épidémie	0.406	anger
rail	0.406	anger
nuisance	0.406	anger
la tremblante	0.406	anger
arguments	0.404	anger
affront	0.403	anger
traumatique	0.402	anger
gazonner	0.4	anger
calomnie	0.4	anger
agace	0.4	anger
tellement lent	0.398	anger
fais attention	0.398	anger
frénétique	0.397	anger
négligent	0.397	anger
barge	0.396	anger
fraude	0.394	anger
hurler	0.394	anger
confisquer	0.394	anger
boxe	0.394	anger
harceler	0.394	anger
passible d'action	0.394	anger
illégal	0.394	anger
clé	0.394	anger
manque de respect	0.394	anger
dangit	0.394	anger
éteindre	0.394	anger
poursuivre en justice	0.394	anger
fâcheux	0.394	anger
populace	0.394	anger
hostile	0.394	anger
à quoi ça sert	0.394	anger
soufre	0.392	anger
tremblement de terre	0.391	anger
grrrrr	0.391	anger
gréé	0.391	anger
argh	0.391	anger
piquer	0.391	anger
insouciance	0.391	anger
dissolution	0.391	anger
être en désaccord	0.389	anger
procès	0.386	anger
désespoir	0.382	anger
abandonné	0.382	anger
immoralité	0.382	anger
incurable	0.379	anger
coups de coude	0.379	anger
falsification	0.379	anger
contraindre	0.379	anger
suceptible	0.379	anger
firstworldprobs	0.379	anger
endolori	0.379	anger
difficulté	0.379	anger
fusil	0.379	anger
grésiller	0.379	anger
piquet	0.378	anger
commotion cérébrale	0.377	anger
coincé	0.375	anger
pessimisme	0.375	anger
renvoi	0.375	anger
piège	0.375	anger
rawr	0.375	anger
canon	0.375	anger
infantile	0.375	anger
désillusion	0.375	anger
sournois	0.375	anger
petpeeve	0.375	anger
milice	0.375	anger
défectueux	0.375	anger
inhiber	0.371	anger
justifier	0.371	anger
népotisme	0.371	anger
pénible	0.371	anger
schizophrénie	0.369	anger
faussé	0.368	anger
de mauvaise réputation	0.368	anger
interdiction	0.368	anger
conquête	0.367	anger
écorce	0.365	anger
leucémie	0.365	anger
malheureux	0.364	anger
burke	0.364	anger
guerrier	0.364	anger
désapprouver	0.364	anger
défi	0.364	anger
retardé	0.364	anger
ceinture	0.364	anger
aboiements	0.364	anger
dogmatique	0.359	anger
restriction	0.359	anger
incompétence	0.359	anger
polémique	0.359	anger
intensité	0.359	anger
manque	0.359	anger
controversé	0.359	anger
conséquences	0.359	anger
détesté	0.359	anger
plaider	0.359	anger
sectaire	0.359	anger
cad	0.359	anger
cassé	0.359	anger
interrompant	0.358	anger
difficile	0.357	anger
jeune fille	0.353	anger
retirer	0.351	anger
mauvaise conduite	0.351	anger
gosse	0.351	anger
bourru	0.351	anger
rareté	0.35	anger
perdant	0.349	anger
temps passé	0.348	anger
mensonge	0.348	anger
stigmate	0.348	anger
indigne de confiance	0.348	anger
déserté	0.348	anger
désaccord	0.348	anger
désappointé	0.348	anger
se rétracter	0.348	anger
ulcère	0.348	anger
ravageur	0.348	anger
endurci	0.348	anger
défaut	0.348	anger
partialité	0.345	anger
éluder	0.344	anger
antisocial	0.344	anger
non fiable	0.344	anger
trompeur	0.344	anger
avare	0.344	anger
anxiété	0.344	anger
dépouillé	0.344	anger
impuissance	0.344	anger
instable	0.344	anger
précaire	0.344	anger
déranger	0.344	anger
pirate	0.344	anger
négation	0.344	anger
de mauvaise qualité	0.344	anger
désavouer	0.344	anger
détérioration	0.344	anger
interminable	0.343	anger
se mêler	0.341	anger
maladie	0.341	anger
chaîne	0.34	anger
opposé	0.338	anger
alcoolisme	0.338	anger
infâme	0.338	anger
rangée	0.337	anger
tatillon	0.336	anger
illégitime	0.333	anger
encombrement	0.333	anger
la sorcellerie	0.333	anger
paralysé	0.333	anger
mauvais	0.333	anger
interrompre	0.333	anger
scorpion	0.333	anger
pécheur	0.331	anger
ponton	0.329	anger
inconsidéré	0.329	anger
disqualifié	0.328	anger
serrer	0.328	anger
adversaire	0.328	anger
faux	0.328	anger
résister	0.328	anger
mensonge	0.328	anger
spammeurs	0.328	anger
disloqué	0.328	anger
brrr	0.328	anger
précipité	0.328	anger
interdit	0.328	anger
grincheux	0.328	anger
victime	0.328	anger
croisade	0.328	anger
bouc émissaire	0.328	anger
sifflement	0.328	anger
inapproprié	0.324	anger
haye	0.324	anger
perte	0.324	anger
éviter	0.324	anger
négligé	0.324	anger
tromperie	0.324	anger
chancre	0.323	anger
croquer	0.318	anger
critique	0.318	anger
les files d'attente	0.318	anger
duplicité	0.318	anger
manchon	0.318	anger
cri	0.316	anger
déprécier	0.315	anger
dramaqueen	0.312	anger
négligence	0.312	anger
décharges	0.312	anger
dupe	0.312	anger
balle	0.312	anger
la pauvreté	0.312	anger
mortalité	0.312	anger
congédiement	0.312	anger
dégonfler	0.312	anger
revving	0.309	anger
